eval_name	filter_name	score_name	threshold	stat	value	p_value	tp	fp	tn	fn	rows_used	total_eval_rows
is_pos_dd-with-combined-controls-distinct	none	AM_percentile	NaN	auc	0.5669063562118024	NaN	NaN	NaN	NaN	NaN	23145	30039
is_pos_dd-with-combined-controls-distinct	none	AM_percentile	0.9	enrichment	2.5697391996814654	8.611114939997947e-10	3636.0	215.0	2838.0	16456.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	AM_percentile	0.95	enrichment	3.4497396136189367	1.1000632585691634e-7	2293.0	101.0	2952.0	17799.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	AM_percentile	0.98	enrichment	4.258246589497834	0.00007719414854422582	1177.0	42.0	3011.0	18915.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	AM_percentile	0.99	enrichment	5.037176488154489	0.0018613780257532016	663.0	20.0	3033.0	19429.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	AM_percentile	0.9	rate_ratio	3.9646327126890877	8.611114939997947e-10	3636.0	215.0	2838.0	16456.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	AM_percentile	0.95	rate_ratio	5.322310732586557	1.1000632585691634e-7	2293.0	101.0	2952.0	17799.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	AM_percentile	0.98	rate_ratio	6.569687589118976	0.00007719414854422582	1177.0	42.0	3011.0	18915.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	AM_percentile	0.99	rate_ratio	7.771432481164273	0.0018613780257532016	663.0	20.0	3033.0	19429.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	score_PAI3D_percentile	NaN	auc	0.5683741213607709	NaN	NaN	NaN	NaN	NaN	23145	30039
is_pos_dd-with-combined-controls-distinct	none	score_PAI3D_percentile	0.9	enrichment	1.9704016625563225	5.281704011518834e-6	3177.0	245.0	2808.0	16915.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	score_PAI3D_percentile	0.95	enrichment	2.5172264188506457	0.00009760123819841914	1756.0	106.0	2947.0	18336.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	score_PAI3D_percentile	0.98	enrichment	2.393228648218196	0.012675086236520566	756.0	48.0	3005.0	19336.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	score_PAI3D_percentile	0.99	enrichment	2.5451796735018912	0.047885248333117594	402.0	24.0	3029.0	19690.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	score_PAI3D_percentile	0.9	rate_ratio	3.0399656468936986	5.281704011518834e-6	3177.0	245.0	2808.0	16915.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	score_PAI3D_percentile	0.95	rate_ratio	3.883615195914643	0.00009760123819841914	1756.0	106.0	2947.0	18336.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	score_PAI3D_percentile	0.98	rate_ratio	3.6923095498744285	0.012675086236520566	756.0	48.0	3005.0	19336.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	score_PAI3D_percentile	0.99	rate_ratio	3.9267419022474077	0.047885248333117594	402.0	24.0	3029.0	19690.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	MisFit_D_score_percentile	NaN	auc	0.5580914918789226	NaN	NaN	NaN	NaN	NaN	23145	30039
is_pos_dd-with-combined-controls-distinct	none	MisFit_D_score_percentile	0.9	enrichment	1.850480502240302	0.00003780349918143473	3008.0	247.0	2806.0	17084.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	MisFit_D_score_percentile	0.95	enrichment	2.0831995401796894	0.0008406429196690737	1700.0	124.0	2929.0	18392.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	MisFit_D_score_percentile	0.98	enrichment	2.3271018131410326	0.010762246011625945	827.0	54.0	2999.0	19265.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	MisFit_D_score_percentile	0.99	enrichment	2.943347637902684	0.01832880600229871	523.0	27.0	3026.0	19569.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	MisFit_D_score_percentile	0.9	rate_ratio	2.8549494572385528	0.00003780349918143473	3008.0	247.0	2806.0	17084.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	MisFit_D_score_percentile	0.95	rate_ratio	3.213991927694075	0.0008406429196690737	1700.0	124.0	2929.0	18392.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	MisFit_D_score_percentile	0.98	rate_ratio	3.5902880631935945	0.010762246011625945	827.0	54.0	2999.0	19265.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	MisFit_D_score_percentile	0.99	rate_ratio	4.54104149226179	0.01832880600229871	523.0	27.0	3026.0	19569.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	mpc_score_percentile	NaN	auc	0.5717644136676496	NaN	NaN	NaN	NaN	NaN	23145	30039
is_pos_dd-with-combined-controls-distinct	none	mpc_score_percentile	0.9	enrichment	2.554098538029413	1.8370770520391436e-10	3866.0	230.0	2823.0	16226.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	mpc_score_percentile	0.95	enrichment	4.4247477905980315	2.1083218016934962e-10	2679.0	92.0	2961.0	17413.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	mpc_score_percentile	0.98	enrichment	6.5421076561331395	2.920078069132487e-7	1593.0	37.0	3016.0	18499.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	mpc_score_percentile	0.99	enrichment	9.304765724725089	0.0000168692124532112	1041.0	17.0	3036.0	19051.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	mpc_score_percentile	0.9	rate_ratio	3.940502062060604	1.8370770520391436e-10	3866.0	230.0	2823.0	16226.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	mpc_score_percentile	0.95	rate_ratio	6.826568173991438	2.1083218016934962e-10	2679.0	92.0	2961.0	17413.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	mpc_score_percentile	0.98	rate_ratio	10.093263171085312	2.920078069132487e-7	1593.0	37.0	3016.0	18499.0	23145	30039
is_pos_dd-with-combined-controls-distinct	none	mpc_score_percentile	0.99	rate_ratio	14.355534048251279	0.0000168692124532112	1041.0	17.0	3036.0	19051.0	23145	30039
